ID	name-wide_target-LC_1	Q1 (Da)	Q3 (Da)	Formula	Ionization model	物质	Class I	物质一级分类	Class II	物质二级分类	Level	GCK1	GCK2	GCK3	GLAB1	GLAB2	GLAB3	GS1	GS2	GS3
meta_41	N-Benzylmethylene isomethylamine	120.08	103.05	C8H9N	[M+H]+	N-苯亚甲基异甲胺	Alkaloids	生物碱	Alkaloids	生物碱	2	6115567.253	5833574.091	6257670.892	5914818.371	6076487.641	5862949.744	5828487.521	5517980.3	5121711.238
meta_42	Broussonetine H	360.24	342.23	C18H33NO6	[M+H]+	构树碱 H	Alkaloids	生物碱	Pyrrole alkaloids	吡咯类生物碱	1	15034315.27	15015855.6	14261225.43	16039414.73	15703661.34	14766514.53	13689270.38	14674798.17	14257474.91
meta_43	Hypaphorine	247.14	146.06	C14H18N2O2	[M+H]+	刺桐碱	Alkaloids	生物碱	Plumerane	吲哚类生物碱	1	294582.864	302701.4391	275084.0401	300276.936	327232.1076	301165.5554	234468.9496	262316.9884	275527.9578
meta_44	2-Phenylethylamine	122.1	105.07	C8H11N	[M+H]+	2-苯乙胺	Alkaloids	生物碱	Benzylphenylethylamine alkaloids	苄基苯乙胺类生物碱	1	3562033.416	3422342.039	3382574.459	4270538.028	4229293.257	4292013.176	3204971.945	3235931.271	3182154.017
meta_45	Broussonetine R	358.22	340.21	C18H31NO6	[M+H]+	构树碱 R	Alkaloids	生物碱	Pyrrole alkaloids	吡咯类生物碱	1	20106305.1	18301975.52	19004141.68	18958843.24	19838459.44	19670003.43	19606855.58	18158077.38	18552327.38
meta_46	2-Ethyl-2,6,6-trimethylpiperidin-4-one	170.15	152.14	C10H19NO	[M+H]+	2-乙基-2,6,6-三甲基派啶-4-酮	Alkaloids	生物碱	Piperidine alkaloids	哌啶类生物碱	2	11360452.37	10229645.18	10277073.33	13198490.02	12766699.56	13501756.02	11161558.38	9791480.699	12768276.85
meta_47	Broussonetine U	344.243802283304	344.2445	C18H33NO5	[M+H]+	构树碱 U	Alkaloids	生物碱	Pyrrole alkaloids	吡咯类生物碱	1	5266446.933	4904948.6	5401770.149	3109620.929	3901880.621	3873741.917	4445093.823	4198658.364	3925000.733
meta_48	Broussonetine Y	364.270796441923	364.277	C18H37NO6	[M+H]+	构树碱 Y	Alkaloids	生物碱	Pyrrole alkaloids	吡咯类生物碱	1	368852.9328	329850.2408	401720.7892	453360.9023	403108.4947	392814.2857	362371.8262	378417.6149	340134.2806
meta_49	broussonetinine A	346.260154093664	346.2593	C18H35NO5	[M+H]+	构树宁碱 A	Alkaloids	生物碱	Alkaloids	生物碱	1	154108.6555	146822.8847	135122.515	107030.8329	111844.0768	81336.64644	113423.9548	125686.4063	142977.8549
meta_50	Broussonetine D	346.26	328.25	C18H35NO5	[M+H]+	构树碱 D	Alkaloids	生物碱	Pyrrole alkaloids	吡咯类生物碱	2	455635.3958	477896.2977	526301.1693	432526.755	444760.4502	407218.3439	489930.8901	454735.3088	512794.3082
meta_51	Broussonetine B	508.31	346.26	C24H45NO10	[M+H]+	构树碱 B	Alkaloids	生物碱	Pyrrole alkaloids	吡咯类生物碱	1	2373739.863	1917338.728	1629938.028	1555845.497	2032957.2	1561535.074	1328538.331	1441273.905	1756019.83
meta_52	broussonetinine B	344.245163576521	130.0865	C18H35NO5	[M-H]-	构树宁碱 B	Alkaloids	生物碱	Alkaloids	生物碱	1	82760.71662	84655.08996	86719.57056	72978.25862	81292.9955	82974.75198	94698.18115	71032.90341	93128.26396
meta_53	1,4-Dideoxy-1,4-imino-(2-O-β-D-glucosyl)-D-arabinitol	296.13	134.08	C11H21NO8	[M+H]+	1,4-二脱氧-1,4-亚氨基-(2-O-β-D-葡萄糖基)-D-阿拉伯糖醇	Alkaloids	生物碱	Pyrrole alkaloids	吡咯类生物碱	3	73579.98227	41035.95713	46643.45224	51809.92831	43830.22963	41380.68754	35567.23865	44825.89262	39101.16679
meta_54	3-(2'-Hydroxyl-phenyl)-4-(3H)-quinazolone	267.08	249.07	C15H10N2O3	[M+H]+	3-(2'-羧基苯基)-4(3H)-喹唑酮	Alkaloids	生物碱	Alkaloids	生物碱	2	156376.4127	60495.42733	15303.40893	147595.9677	89913.83989	67831.69204	65407.31545	61243.36091	99004.94278
meta_55	6-Methylnicotinamide	137.07	65.04	C7H8N2O	[M+H]+	6-甲基烟酰胺	Alkaloids	生物碱	Pyridine alkaloids	吡啶类生物碱	2	4043013.975	4153857.418	1637002.243	5594250.066	5600209.67	9754266.945	2674965.586	1737048.639	7449786.048
